source_path,size_bytes,sha256,disposition,canonical_destination,notes
Part2/DKG python/bip-frost-dkg-master/python/chilldkg_ref/util.py,4075,dffc53e76aab46482993115fbe916d6a8976d74be2ae6d9626c5c5a2af765a9b,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/chilldkg_ref/vss.py,5079,85459b1babb4779b38b6dfee3fbae3678f18511b2445b940cc935a01f386032f,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/chilldkg_ref/__init__.py,177,f27050ee50eca9eba95b6b9d51f6f26ce97cff9124c078c2c80cf959ea1c02a2,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/chilldkg_ref/__pycache__/chilldkg.cpython-39.pyc,31283,60137d07493a3f6a62d21d600f184f2af1bb9e2d467aacb7fe02989e57e4ea6d,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/bip-frost-dkg-master/python/chilldkg_ref/__pycache__/encpedpop.cpython-39.pyc,8351,591d0ba80490b25f66cb95bf0535e5baf8639816b6826fe98c7fc8e04b29c561,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/bip-frost-dkg-master/python/chilldkg_ref/__pycache__/simplpedpop.cpython-39.pyc,8498,b924cda49d924d3e8659fc22e4a02dfdd505fc7ae2c091bd94f7e119c088de9b,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/bip-frost-dkg-master/python/chilldkg_ref/__pycache__/util.cpython-39.pyc,5163,a935e384d4d1ab125d80b144cd555e8167b6ceb529ebcbb11c928383a2748d6c,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/bip-frost-dkg-master/python/chilldkg_ref/__pycache__/vss.cpython-39.pyc,5987,617421d8302f16a207b21a612994c706783d1d86528797764bfbf770c5084e36,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/bip-frost-dkg-master/python/chilldkg_ref/__pycache__/__init__.cpython-39.pyc,343,6f1558015c35ef676fbe9fa90acf29071a4a667f2218ec9601869087e6df8f27,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/bip-frost-dkg-master/python/example.py,9084,e2bc6aeda5b7db3a37e8314c2cc1090d921a839154350ce291bbd0d7b6af48df,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/mypy.ini,179,2c7712dd28b058c91744d3f1e3d0d55593830294c0a61752b8e33ca058b2d89c,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/.github/workflows/main.yml,423,62e69e97de8483a7111d4f62906635ad3508147633547b32f89e9fc3461a4bf3,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/.python-version,4,3ec15f7f82d24dbcd050ce11c3994d981499b029772da41c37a2cd0acce87f6e,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/CHANGELOG.md,295,727edfd7a39390c5b4017c679511b553722ff494f7217f778ae64bc3dafd681b,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/COPYING,1190,8f13f6dc042fbc546d7217ed87f1639a9f95ba8ba0248364899564c5d4f32576,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/pyproject.toml,1276,8e0756324aa52b1d95586706eff41079ee10bd6335bef1e730d37a9a63bcffe2,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/README.md,588,67dfa2abf53f970974cd9771725ff847af5be47885ecd135957671c09af59d8a,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/bip340.py,2492,428ee8110175b32b67d22a88efe07a44cede2419d0f547949164f2a8f9d76b96,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/ecdh.py,522,8ee93a3442bce4c438bd6373565071a09fd7c1075e998b7e90b51ae17a8df0e1,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/keys.py,548,25a7c9d4d70dec7acea57245a529ef5f8454616d075a31fe27964d3e237c2860,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/py.typed,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/secp256k1.py,15741,3a3316ea6717f8dd6d89eb65e80a09265551955d5c9eb872fae3e12504cc63b0,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/util.py,645,3aeccf814f0bd67cdfb0791a6bf054b367c580942acd44942fdf505e5a1af707,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,exact duplicate within Part2,Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/py.typed,Byte-identical to an earlier Part 2 source entry; retained once through the exact source archive.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/__pycache__/bip340.cpython-39.pyc,2222,d1383e5da6410d4a0803b615c6722208c545bbedef0a5765f1406a124f5c8599,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/__pycache__/ecdh.cpython-39.pyc,762,f65474ba56f221a3aa8cc121cda50b151137d31adae6723e08b1f168486d4834,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/__pycache__/keys.cpython-39.pyc,649,48e60fba751b9f1feeeff9640cdb05547dcd57e69d2a9f39e0d39561d08cd123,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/__pycache__/secp256k1.cpython-39.pyc,15265,0b3831c2c3a6a988a72af440e87f97e458bfa56dae3ee5e392f7d4dce8258962,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/__pycache__/util.cpython-39.pyc,1237,08e3024e80c8c757de1a67bc2cd837fd5b1f3d6f2c2f0bf6ea67c79ad40a1b47,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/bip-frost-dkg-master/python/secp256k1lab/src/secp256k1lab/__pycache__/__init__.cpython-39.pyc,210,b5217a5f4eff8c3e57f64162f0fd62def8f6ea0d056b1264fcc47d9798d61a02,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/bip-frost-dkg-master/python/tests.py,13662,68fcc9d79dcd0922eed7e93a1b5ad57ddc2199c4647393bf364af514340d25a2,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/tests.sh,569,ce33bcfc6ee80bf2ba304478b124826326190a3c7d899105614ef8b0d3c26cd4,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/README.md,77463,58f91f0cad30df48f40636b406a99db6aa8af8b3b9bcc5e86ec80a99d860e99e,integrated/reworked,src/content/blog/chilldkg-practical-frost-dkg.md,Used as primary recovered source for the ChillDKG engineering research note; claims were narrowed and production-code warnings preserved.
Part2/DKG python/bip-frost-dkg-master/update-pydoc.sh,1861,2c8fe615de01d07f7f2651a406be3104ac5a25c3a30ccfaffe2a803335121656,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/computation.py,2903,329fc5160084545083206e423f9a92bb4668a3a6c8d929805362b68e9cc5f28c,superseded by stronger canonical work,src/content/blog/dkg-from-vss-pedersen.md,Older P2P DKG repository/PDF is weaker than the canonical VSS/DKG/FROST track; retained only in the source batch.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/control.py,4671,43eded90e3d010ad64f3bb0feb90675551cfe75db46fb57a5dec98ee97ba08cb,superseded by stronger canonical work,src/content/blog/dkg-from-vss-pedersen.md,Older P2P DKG repository/PDF is weaker than the canonical VSS/DKG/FROST track; retained only in the source batch.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/DKG_over_a_P2P_Network.pdf,469955,543f5ddc32286153a289ba22877a85e6899854142efbcfdd4b80b5b51939cc4a,superseded by stronger canonical work,src/content/blog/dkg-from-vss-pedersen.md,Older P2P DKG repository/PDF is weaker than the canonical VSS/DKG/FROST track; retained only in the source batch.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/errors.py,314,f91584833279bd995b712a26a4a14759d84b745c4c776361258b48056ac111be,superseded by stronger canonical work,src/content/blog/dkg-from-vss-pedersen.md,Older P2P DKG repository/PDF is weaker than the canonical VSS/DKG/FROST track; retained only in the source batch.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/get_priv_key.py,3757,3b9f42f1b2a07df770e6d228de57c4143ffbb177a511aabdde36c39e23657d67,superseded by stronger canonical work,src/content/blog/dkg-from-vss-pedersen.md,Older P2P DKG repository/PDF is weaker than the canonical VSS/DKG/FROST track; retained only in the source batch.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/main.py,1137,959b22743f9174bab01e5aebd815716abdf16bd9c2b632399e3ff8a2a36323c9,superseded by stronger canonical work,src/content/blog/dkg-from-vss-pedersen.md,Older P2P DKG repository/PDF is weaker than the canonical VSS/DKG/FROST track; retained only in the source batch.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/message.py,1484,d654918435eeb5a6305a5adbdf9a684c07c4abd2852f8b3eb7c79eb4e5409dc3,superseded by stronger canonical work,src/content/blog/dkg-from-vss-pedersen.md,Older P2P DKG repository/PDF is weaker than the canonical VSS/DKG/FROST track; retained only in the source batch.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/p2p.py,12283,ab69c3bebf3c2a402b26c82a0b75ed3bf2747b1b159633816744eaee7e4be8fc,superseded by stronger canonical work,src/content/blog/dkg-from-vss-pedersen.md,Older P2P DKG repository/PDF is weaker than the canonical VSS/DKG/FROST track; retained only in the source batch.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/README.md,166,eafda9936c6ba2048d3a44456fa6a43dcef5e4d71b9511c10a3a48fbab5d8b78,superseded by stronger canonical work,src/content/blog/dkg-from-vss-pedersen.md,Older P2P DKG repository/PDF is weaker than the canonical VSS/DKG/FROST track; retained only in the source batch.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/setup.txt,39,b4c6bee19714498f12c260dd193ff8604582b0c43cbec65941055aa3c51fb236,superseded by stronger canonical work,src/content/blog/dkg-from-vss-pedersen.md,Older P2P DKG repository/PDF is weaker than the canonical VSS/DKG/FROST track; retained only in the source batch.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/test.py,588,4060ed94d996f65ecbc53f10515fab20cca3262dc9ad509876e10c2cd62c8442,superseded by stronger canonical work,src/content/blog/dkg-from-vss-pedersen.md,Older P2P DKG repository/PDF is weaker than the canonical VSS/DKG/FROST track; retained only in the source batch.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/__pycache__/computation.cpython-39.pyc,3679,0966fb28a92a46df13ac79d7cba34683811abc6903e5797a5c59045b3e5e1fc5,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/__pycache__/errors.cpython-39.pyc,750,fb79e20a508e860576f0e8d3f129d6c405e63d360fb34dfc66e0d9e555075aab,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/__pycache__/message.cpython-39.pyc,2338,88fba6e1b367f3aa7c4bf36bceb7208c50f23e1fabe1d78e4acf04ce493144c3,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/__pycache__/p2p.cpython-39.pyc,9877,7c5f58777700b5b17ffe67fadea5afa62c6ce0c87f9b0b0fd234a167579da25c,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/DKG python/Distributed-Key-Generation-Algorithm-master/__pycache__/test.cpython-39.pyc,718,3ca13759ca4a9ab52545b57e15869e5b0d8d14c5108a10f3e76771668878aa27,discarded generated artifact,,Generated cache/checkpoint; no canonical value.
Part2/EverythingCrypto-master/EverythingCrypto-master/E0-Security-Theory/Chosen plaintext attack.pdf,193321,45ceeb7ef220480a5cb8a815436b783c7c45319243f3c2ef7e112a0584656e24,superseded by stronger canonical work,src/content/blog/digital-signatures-foundations.md,General security-theory teaching material overlaps stronger canonical foundations/security-model coverage.
Part2/EverythingCrypto-master/EverythingCrypto-master/E0-Security-Theory/Definitions and concepts.pdf,100224,96b5b9c7b1568a01b45c838f7c427b4577291f195db91603b3cc061489b92cda,superseded by stronger canonical work,src/content/blog/digital-signatures-foundations.md,General security-theory teaching material overlaps stronger canonical foundations/security-model coverage.
Part2/EverythingCrypto-master/EverythingCrypto-master/E0-Security-Theory/Overview.pdf,120804,4164ee02b211f08d9b1c8247f3d453aad3e53bb226a428f79e08b3a11e69de65,superseded by stronger canonical work,src/content/blog/digital-signatures-foundations.md,General security-theory teaching material overlaps stronger canonical foundations/security-model coverage.
Part2/EverythingCrypto-master/EverythingCrypto-master/E0-Security-Theory/README.md,129,4ee5c4bcf0b9e22045881b30d6075f789d75489f4d0bdcf1ef323217c785b1d5,superseded by stronger canonical work,src/content/blog/digital-signatures-foundations.md,General security-theory teaching material overlaps stronger canonical foundations/security-model coverage.
Part2/EverythingCrypto-master/EverythingCrypto-master/E0-Security-Theory/Types of attacks.pdf,123744,0a1a2222bd2336dc64aba3c9655aa3b9fd98ffb3fc3e7af89b3160589638a507,superseded by stronger canonical work,src/content/blog/digital-signatures-foundations.md,General security-theory teaching material overlaps stronger canonical foundations/security-model coverage.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/1.PNG,10608,21c535d69ca7eb725e89fc857a4c86e5449cedd3d622f854a900c957a811c763,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Legacy source illustration retained in the source batch; canonical articles use cleaned prose/math and do not require this image.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/2.PNG,15452,c8fc1865c4328bb9107ee86f16e2a73353edede224202e8e01c4c1910c944ec8,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Legacy source illustration retained in the source batch; canonical articles use cleaned prose/math and do not require this image.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/3.PNG,50106,6a9e5ee4a4f50f7239a5e395cbea65f0ebec9605f12dc1e7375b4d4e81bcc6bc,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Legacy source illustration retained in the source batch; canonical articles use cleaned prose/math and do not require this image.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/4.PNG,153214,d23be7b282ba2380253b050fcebb612d9bb36d812469af3667b454997ab5bea2,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Legacy source illustration retained in the source batch; canonical articles use cleaned prose/math and do not require this image.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/5.PNG,24741,3c03f29c64b1841356f2a7bb3c2560fa0e042e45a54402452e775d47629299d0,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Legacy source illustration retained in the source batch; canonical articles use cleaned prose/math and do not require this image.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/Dual_EC_DRBG.ipynb,69591,478025cc5b69254f565c60d8d65d3b03f34065aa3c5aaee2b405f52914818531,integrated/reworked,src/content/blog/dual-ec-drbg-backdoor-lesson.md,Recovered teaching material was rewritten into the ordered Randomness & Stream Ciphers path with technical corrections and current historical context.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/Geffe_LFSR_correlation_attack.ipynb,26266,5adcc9ecb86b44054386f13d16032f200db40085620dc1eee9c74c35db4eae0c,integrated/reworked,src/content/blog/geffe-generator-correlation-attack.md,Recovered teaching material was rewritten into the ordered Randomness & Stream Ciphers path with technical corrections and current historical context.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/Linear_congruential_generator.ipynb,6268,e76e6ab2a036249e84a0be0849e1fab62bd42d62d14b383353507848a3468dbe,integrated/reworked,src/content/blog/linear-congruential-generators-predictability.md,Recovered teaching material was rewritten into the ordered Randomness & Stream Ciphers path with technical corrections and current historical context.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/Linear_Feedback_Shift_Registers.ipynb,704346,343d2ca774bbd39d195df71068201459b55bf7a028b91fbef88f08d150785f3b,integrated/reworked,src/content/blog/lfsr-linear-complexity.md,Recovered teaching material was rewritten into the ordered Randomness & Stream Ciphers path with technical corrections and current historical context.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/PRG_and_ChaCha_example.ipynb,253239,ea1f578aa9fdd8bb4dcdc0745d871599d700cde4d353006a7a43f03d834aefcf,integrated/reworked,src/content/blog/chacha20-arx-stream-cipher.md,Recovered teaching material was rewritten into the ordered Randomness & Stream Ciphers path with technical corrections and current historical context.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/PRNGs.md,53414,4ff9295bf733d095b08ff68e06ba8c5db203d51c1fd4e79037a50a7df7229380,integrated/reworked,src/content/blog/prg-stream-cipher-foundations.md,Recovered teaching material was rewritten into the ordered Randomness & Stream Ciphers path with technical corrections and current historical context.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/Pseudorandomness and Stream Ciphers.pdf,128454,9768c886499acb7c81c1d0f015b305759b3c6773261b5cd1240b2ec1dd3f6a8d,superseded by stronger canonical work,src/content/blog/prg-stream-cipher-foundations.md,Legacy README/PDF/test helper overlaps the cleaned canonical Randomness & Stream Ciphers series.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/RC4.ipynb,56359,f5ce26ca272dc09ae213ec6ee5c9c54d2b1f54cc50813e3469efc78993232631,integrated/reworked,src/content/blog/rc4-biases-fms-obsolete.md,Recovered teaching material was rewritten into the ordered Randomness & Stream Ciphers path with technical corrections and current historical context.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/README.md,1205,29bb6be4087bc444dcbc45b3235630afcab7f17c970a0664a81c0b4e6df960fd,superseded by stronger canonical work,src/content/blog/prg-stream-cipher-foundations.md,Legacy README/PDF/test helper overlaps the cleaned canonical Randomness & Stream Ciphers series.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/test.py,3525,ec49807b3ca428286e728dcda4d934f4d441bc322552258a092a05ca1380b24e,superseded by stronger canonical work,src/content/blog/prg-stream-cipher-foundations.md,Legacy README/PDF/test helper overlaps the cleaned canonical Randomness & Stream Ciphers series.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/test2.py,818,9d2f004f9dcaf05f24162c6bebe4a09fd3affa07d5c495a3873b869b62085184,superseded by stronger canonical work,src/content/blog/prg-stream-cipher-foundations.md,Legacy README/PDF/test helper overlaps the cleaned canonical Randomness & Stream Ciphers series.
Part2/EverythingCrypto-master/EverythingCrypto-master/S1-PRNGs-and-stream-ciphers/test3.py,1841,fdb8d886ef8150581417cd5742dff7ada57a9cf18ec0b67e6517f6d30cb7cd72,superseded by stronger canonical work,src/content/blog/prg-stream-cipher-foundations.md,Legacy README/PDF/test helper overlaps the cleaned canonical Randomness & Stream Ciphers series.
Part2/EverythingCrypto-master/EverythingCrypto-master/S4-Authenticated-Encryption/AE and AEAD.pdf,75284,b7a2ccf0c8a93f57399834192d03ca4a5f2a6a4f7b24bc6f07b37be3d6c1374a,superseded by stronger canonical work,src/content/blog/authenticated-encryption-aead.md,Legacy AE/AEAD PDF/README overlaps the canonical AEAD article.
Part2/EverythingCrypto-master/EverythingCrypto-master/S4-Authenticated-Encryption/GCM_Forbidden_attack.ipynb,16311,3ac8a3cc049e3ac5c7f13575c4c34a7f9ca7796de2fb0607231c198a0458fc9d,integrated/reworked,src/content/blog/authenticated-encryption-aead.md,Unique GCM/GHASH and nonce-reuse/forbidden-attack material merged into the canonical AEAD article rather than creating a duplicate GCM chapter.
Part2/EverythingCrypto-master/EverythingCrypto-master/S4-Authenticated-Encryption/GCM_mode.ipynb,34840,718907f4d14aef3a054b22f7bfc3eef30686cb385954d941b074cb1d9ffdb25d,integrated/reworked,src/content/blog/authenticated-encryption-aead.md,Unique GCM/GHASH and nonce-reuse/forbidden-attack material merged into the canonical AEAD article rather than creating a duplicate GCM chapter.
Part2/EverythingCrypto-master/EverythingCrypto-master/S4-Authenticated-Encryption/README.md,371,784805f3edaf798a3d6a8f79af83cdf99b6a4299a903bad6e6a77619eff644ab,superseded by stronger canonical work,src/content/blog/authenticated-encryption-aead.md,Legacy AE/AEAD PDF/README overlaps the canonical AEAD article.
